"JP105F7W"	"JP51F7W"	"JP64F7W"	"JP66F7W"	"JP77F7W"	"JP166F7W"	"JP258F7W"	"JP257F7W"	"JP190F7W"	"JP23F7W"	"JP31F7W"	"JP117F7W"	"JP110F7W"	"JP411F7W"	"JP124F7W"	"JP104F7W"	"JP136F7W"	"JP9F7W"	"JP260F7W"	"JP81F7W"	"JP10F7W"	"JP403F7W"	"JP401F7W"	"JP129F7W"	"JP133F7W"	"JP20F7W"	"JP106F7W"	"JP103F7W"	"JP146F7W"	"JP45F7W"	"JP165F7W"	"JP48F7W"	"JP205F7W"	"JP83F7W"	"JP410F7W"	"JP119F7W"	"JP24F7W"	"JP221F7W"	"JP108F7W"	"JP78F7W"	"JP112F7W"	"JP116F7W"	"JP16F7W"	"JP409F7W"	"JP160F7W"	"JP3F7W"	"JP18F7W"	"JP131F7W"	"JP111F7W"	"JP107F7W"	"JP259F7W"	"JP39F7W"	"JP222F7W"	"JP22F7W"	"JP118F7W"	"JP97F7W"	"JP38F7W"	"JP187F7W"	"JP132F7W"	"JP201F7W"	"JP76F7W"	"JP102F7W"	"JP5F7W"	"JP59F7W"	"JP151F7W"	"JP88F7W"	"JP30F7W"	"JP43F7W"	"JP82F7W"	"JP67F7W"	"JP71F7W"	"JP162F7W"	"JP27F7W"	"JP120F7W"	"JP84F7W"	"JP123F7W"	"JP121F7W"	"JP156F7W"	"JP139F7W"	"JP114F7W"	"JP21F7W"	"JP11F7W"	"JP13F7W"	"JP223F7W"	"JP86F7W"	"JP2F7W"	"JP155F7W"	"JP1F7W"	"JP154F7W"	"JP159F7W"	"JP182F7W"	"JP12F7W"	"JP15F7W"	"JP202F7W"	"JP141F7W"	"JP406F7W"	"JP89F7W"	"JP19F7W"	"JP101F7W"	"JP184F7W"	"JP53F7W"	"JP186F7W"	"JP185F7W"	"JP85F7W"	"JP17F7W"	"JP98F7W"	"JP75F7W"	"JP33F7W"	"JP25F7W"	"JP163F7W"	"JP169F7W"	"JP74F7W"	"JP55F7W"	"JP130F7W"	"JP183F7W"	"JP58F7W"	"JP170F7W"	"JP4F7W"	"JP44F7W"	"JP72F7W"	"JP224F7W"	"JP79F7W"	"JP152F7W"	"JP137F7W"	"JP87F7W"	"JP153F7W"	"JP29F7W"	"JP99F7W"	"JP172F7W"	"JP157F7W"	"JP138F7W"	"JP63F7W"	"JP173F7W"	"JP191F7W"	"JP253F7W"	"JP52F7W"	"JP6F7W"	"JP206F7W"	"JP158F7W"	"JP70F7W"	"JP181F7W"	"JP192F7W"	"JP56F7W"	"JP57F7W"	"JP54F7W"	"JP174F7W"	"JP60F7W"	"JP73F7W"	"JP177F7W"	"JP62F7W"	"JP179F7W"	"JP189F7W"	"JP188F7W"	"JP69F7W"	"161FW6"	"454FW6"	"455FW6"	"451FW8"	"109FW7"	"113FW7"	"8FW6"	"402F7W"	"198FW7"	"145F7W"	"454FW8"	"199FW7"	"171FW6"	"144F7W"	"164FW6"	"65FW7"	"68FW7"	"200FW7"	"455FW8"
"New.0.CleanUp.ReferenceOTU53655"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"354574"	0	0	0	0	0	0	0	0	0	0	17	0	0	72	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	18	0	0	279	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	515	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	437	0	236	0	0	0	0	105	0	125	0	0	33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"135956"	0	0	0	0	2425	0	250	271	450	0	152	0	0	93	0	0	0	0	88	24	1	105	0	0	0	1	0	1	409	623	0	220	242	0	142	0	0	279	0	1173	0	0	0	650	1	0	3	0	0	0	88	446	231	0	0	649	323	0	0	227	95	0	0	0	0	0	0	322	2	0	1	0	0	1	0	1	0	0	377	0	3	1	0	20	0	0	0	0	0	0	0	0	0	642	437	84	0	0	0	0	0	0	0	0	0	331	1	0	2	1	656	0	0	0	0	0	0	0	1077	0	175	1571	0	543	1	0	0	1288	209	0	571	0	2040	51	86	0	0	175	0	0	0	65	0	1	0	887	0	0	0	0	0	597	443	0	2	398	308	228	3	1387	0	1	2246	354	459	1719	0	719	0	1	0	1251	318
"269125"	0	0	0	0	56	0	13	12	12	0	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	9	0	3	5	0	0	0	0	6	0	19	0	0	0	13	0	0	0	0	0	0	0	6	4	0	0	11	4	0	0	2	5	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	9	0	0	0	0	0	0	0	24	0	2	26	0	9	0	0	0	21	0	0	12	0	30	0	1	0	0	2	0	0	0	2	0	0	0	13	0	0	0	0	0	8	16	0	0	10	10	2	0	22	0	0	34	4	5	28	0	21	0	0	0	21	7
"289627"	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7	0	4	0	0	0	5	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	2	0	0	1	0	0	0	0	0	6	1
"463794"	0	0	0	0	129	0	10	11	48	0	6	0	0	3	0	0	0	0	8	1	0	2	0	0	0	0	0	0	20	42	0	27	12	0	6	0	0	13	0	73	0	0	0	21	0	0	0	0	1	0	6	28	14	0	0	35	14	0	0	10	3	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	32	36	12	0	0	0	0	0	0	1	0	0	20	0	0	0	0	44	0	0	0	0	0	0	0	74	0	13	89	0	15	1	0	0	82	14	0	37	0	144	4	10	0	0	7	0	0	0	6	0	0	0	70	0	0	0	0	0	34	35	0	0	33	29	14	1	67	0	0	100	9	17	59	0	10	0	0	0	72	28
"4390755"	0	0	9	106	187	173	14	62	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	3	0	0	859	36	0	0	0	0	4	429	1	0	0	0	0	0	10	0	0	1	0	0	0	0	0	43	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	36	0	0	0	75	123	1	0	27	283	38	0	0	264	0	111	53	0	0	49	0	3	104	8	1	54	527	3	7	518	0	1	5	81	319	23	906	697	206	116	25	76	328	1	2	45	57	0	3	3	2	14	0	0	1	0	4	0	5	11	32	0	26	3	3	5	1
"183174"	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	2	0	0	0	0	0	7	19	0	0	8	0	0	0	19	11	5	0	1	0	0	3	0	0	5	0	0	0	1	0	2	1
"259631"	0	0	0	4	2	214	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0	1	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	83	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	0	11	0	0	0	0	0	2	51	0	0	226	0	0	28	16	0	0	0	0	0	0	0	0	69	3	27	0	0	24	19	8	0	6	88	0	1	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0
"176798"	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	14	0	19	0	0	0	0	0	18	2	77	5	0	0	4	0	0	0	24	8	0	0	0	0	126	0	4	0	0	17	0	0	26	0	0	0	0	0	5	0
"176298"	0	0	0	0	6	0	0	0	45	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	1	0	0	0	0	1	0	33	0	2	0	0	0	0	0	11	0	0	0	0	0	115	0	169	0	0	0	5	0	186	2	775	46	0	0	65	0	1	0	310	49	0	0	0	0	1313	0	33	0	0	174	0	0	197	0	0	0	0	0	45	0
"199215"	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3	0	0	0	0	0	37	0	70	0	0	0	1	0	55	0	210	11	0	0	23	0	0	0	69	18	0	0	0	0	398	0	14	0	0	56	0	0	59	0	0	0	0	0	18	0
"258368"	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	105	0	0	0	0	87	0	0	70	0	0	0	0	0	0	11
"272060"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	28	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"263366"	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	8	0	69	43	0	0	0	0	0	0	18	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"262104"	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	0	0	2	2	5	6	16	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	9	0	2	0	2	0	0	0	2
"New.0.CleanUp.ReferenceOTU14614"	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	4	0	0	0	0	0	0	0	7	0	0	0	1	1	0	0	6	0	2	1	0	0	0	0	3	1	1	2	7	0	2	0	0	0	2	0	0	0	0	0	0	3	0	0	0	9	0	0	3	1	0	3	0	0	1	0	2	1	0	0	0	0	0	0	3	0	2	2	4	0	2	0	0	0	0	1	0	2	0	0	0	0	1	5	0	1	0	1	0	0	2	1	1	0	0	0	2	0	0	0	4	0	0	1	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	9	3	14	7	0	0	0	0	14	0	16	0	4	16	0
"187702"	1067	379	0	0	0	0	0	0	0	64	390	216	664	360	281	610	381	326	0	1	222	0	277	174	290	249	721	530	0	272	82	1	0	447	315	237	170	146	590	0	414	1224	180	202	166	478	435	310	1089	273	0	323	56	336	86	0	284	84	494	185	0	492	811	19	0	193	306	0	171	0	0	151	71	186	130	710	290	0	210	697	141	206	282	161	209	583	2	210	0	144	100	74	212	6	214	295	106	71	242	446	147	849	118	164	222	0	0	286	161	119	0	0	275	110	1	2	0	417	0	1	358	0	1	134	135	1	227	0	0	0	162	0	1	1	0	2	410	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	186	0	0	2	302	175	2124	992	0	2	2	0	331	0	471	0	137	451	0
"178767"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"181683"	0	0	0	7	13	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	7	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	3	0	0	2	0	5	0	0	24	0	1	80	0	0	0	0	11	34	0	0	0	4	2	4	0	0	0	5	0	7	2	0	0	0	0	0	14	27	2	2	0	0	0	0	16	20	1	0	0	0	0	0	0	1	0	6	0	4	0	0	0	2
"1145098"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4355436"	0	0	19	9	90	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	133	71	0	0	0	0	1	90	0	0	0	0	1	0	19	0	0	0	0	0	0	0	0	126	0	64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	24	23	0	0	0	35	4	0	0	115	0	18	58	0	0	26	0	0	12	10	0	17	14	0	0	77	0	0	88	0	0	0	194	107	124	35	18	38	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	116	0	69	15	35	0	0
"312476"	0	0	0	0	0	0	4	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	20	4	0	0	0	0	3	150	31	0	0	0	0	0	0	49	0	25	12	7	0	0	51	49	68	0	10	0	0	82	0	112	73	0	0	0	0	0	25	50
"4480555"	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	14	0	2	1	0	0	0	0	7	0	2	0	0	0	4	0	11	16	1	8	0	0	4	6	0	1	2	0	0	0	0	0	3	0	0	0	0	3	0	0	6	0	1	0	0	0	0	1
"263546"	0	0	6	1	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	7	0	0	0	0	0	116	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	41	0	0	38	9	0	0	0	55	0	2	87	0	0	119	0	8	6	7	0	1	0	0	7	22	0	0	1	51	1	0	99	37	62	2	4	37	83	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"3903651"	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	93	0	0	0	0	28	0	0	51	0	0	0	0	0	21	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	21	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"838685"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"178959"	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	2	0	5	0	0	0	2	0	6	0	4	0	0	0	0	0	1	4	0	6	0	0	18	3	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
"332608"	0	0	8	88	60	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	11	0	0	0	59	0	41	12	0	0	0	0	0	27	111	0	1	0	0	51	1	135	0	4	25	11	0	3	0	0	11	0	0	0	0	8	0	0	21	1	0	2	5	3	0	0
"832558"	0	0	1	2	90	31	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	12	2	0	0	9	0	7	0	0	5	0	17	0	0	0	0	0	5	58	0	0	0	21	0	4	7	0	0	0	0	51	0	71	0	9	128	8	114	157	0	1	5	0	0	0	0	0	15	0	0	0	0	7	0	3	3	16	0	3	0	1	0	0
"162005"	0	0	52	229	42	60	16	100	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	73	68	0	0	0	0	39	53	0	0	0	0	0	0	35	0	0	0	0	0	0	0	1	8	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	16	0	0	0	28	16	0	0	30	35	0	0	0	48	0	42	32	0	0	97	0	49	20	11	0	82	60	49	59	88	0	0	49	29	80	67	74	35	61	80	54	36	52	21	4	10	13	0	9	2	15	16	0	1	0	0	25	0	11	35	8	0	4	19	8	4	1
"190114"	0	0	12	164	48	51	0	0	64	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	354	108	0	0	0	0	16	33	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	99	0	1088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	113	32	0	0	0	34	0	0	0	11	0	35	257	0	0	758	0	0	53	5	0	113	65	293	0	16	0	0	143	16	434	253	155	181	9	44	50	16	42	5	73	175	47	0	7	46	55	148	0	47	0	0	78	0	176	93	0	0	0	8	3	47	333
"317714"	0	0	0	0	0	0	29	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1111580"	0	0	136	380	145	0	34	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	41	13	0	0	0	0	4	191	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	30	0	0	0	22	16	0	0	37	21	0	0	0	113	0	86	19	0	0	24	0	42	108	0	0	70	25	0	0	52	0	0	0	57	65	96	228	64	35	94	1	19	90	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	11	0	0
"97263"	0	0	204	1343	248	258	28	130	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	1	0	0	0	0	26	0	0	0	106	64	0	0	0	5	0	0	0	291	2	0	0	0	16	143	73	0	0	0	0	0	229	0	0	0	0	0	0	10	0	87	0	418	187	0	1	0	0	0	0	0	0	0	58	0	1	146	0	0	41	17	0	0	127	0	171	0	0	179	3	0	1	0	85	0	300	169	0	21	550	0	235	55	216	0	617	411	1	36	20	0	0	194	150	1162	11	10	0	17	87	372	18	147	164	226	428	30	0	17	34	21	17	31	1	0	0	10	0	26	5	43	0	16	36	10	0	65
